word,category,Alt_Badlands_sci_terms,Alt_NOAA_sci_terms,Alt_NPS_sci_terms,Alt_USDA_sci_terms,Alt_USEPA_sci_terms,Alt_USFS_sci_terms,Alt_USFWS_sci_terms,Off_Badlands_post_sci_terms,Off_NOAA_Jan_Apr2016_tweets_sci_terms,Off_NOAA_post_sci_terms,Off_NPS_Jan_Apr2016_tweets_sci_terms,Off_NPS_post_sci_terms,Off_USDA_Jan_Apr2016_tweets_sci_terms,Off_USDA_post_sci_terms,Off_USEPA_Jan_Apr2016_tweets_sci_terms,Off_USEPA_post_sci_terms,Off_USFS_Jan_Apr2016_tweets_sci_terms,Off_USFS_post_sci_terms,Off_USFWS_Jan_Apr2016_tweets_sci_terms,Off_USFWS_post_sci_terms
laysan,bird,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
lead,pollution,3,13,1,3,29,0,0,0,0,0,0,0,0,0,9,2,0,1,1,0
leaf,plant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
leatherback,reptile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
leavenotrace,activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
leaves,plant,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
leopold,person,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
lightning,weather,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
livestock,agriculture,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
lorax,mammal,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
lynx,mammal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
malheur,ecosystem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
mammal,mammal,2,2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1
manatee,mammal,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
marine,ecosystem,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mate,ecology,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
mdeq,agency,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
meadowlark,bird,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
meadows,ecosystem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
medical,medical,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mercury,pollution,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
meteorologist,occupation,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
meteorology,climate,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
methane,fossilfuel,1,1,0,0,3,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0
migration,ecology,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0
migratory,ecology,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
milkweed,plant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
millionyearold,geology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
minerals,geology,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mining,fossilfuel,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moles,mammal,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
monarch,invertebrate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2
monitoring,conservation,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
moon,astro,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moose,mammal,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
moths,invertebrate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
mountain,ecosystem,0,0,0,0,2,0,0,0,0,1,2,1,0,0,0,0,3,1,0,0
mouse,mammal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
muir,person,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,4,0,0
mushrooms,fungi,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0
nasa,agency,4,10,9,1,5,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
natgeo,agency,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
nationalagday,agriculture,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
nationalforests,agency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
nationalgardenmonth,plant,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
nationalmammal,mammal,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
native,ecology,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
natlparkservice,agency,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nature,ecology,25,3,3,1,9,2,7,3,0,1,0,0,1,0,4,1,5,20,3,1
naturenps,agency,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
nest,ecology,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,3
nesting,ecology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
nifaimpacts,agriculture,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
noaa,agency,0,46,0,0,1,0,0,0,24,21,0,0,0,0,0,0,0,0,0,0
nodapl,fossilfuel,10,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
nokxl,fossilfuel,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nps,agency,0,2,16,0,1,4,0,1,0,0,4,2,0,0,0,0,0,0,0,0
nrcs,agency,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
nrdc,agency,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nutrients,general,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
nwr,agency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
nws,agency,0,17,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
oak,plant,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
observe,evidence,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ocean,ecosystem,1,20,3,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
oil,fossilfuel,1,9,2,4,12,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
openspace,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
oreodonts,mammal,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
organisms,animal,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
osprey,bird,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
otter,mammal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
outdoor,general,0,1,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,1,1,0
outside,,1,2,2,0,7,1,0,0,0,0,0,0,0,0,1,0,2,0,1,0
overfishing,conservation,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
overwinter,ecology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
owl,bird,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,1
pacific,ecosystem,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
park,conservation,18,2,24,4,8,4,0,3,0,0,9,9,0,0,0,0,2,0,2,0
parkforest,ecosystem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
parkscience,general,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
peer,evidence,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peerreviewed,evidence,0,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pelican,bird,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
perennial,agriculture,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
permafrost,ecosystem,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pesticide,pollution,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
petroleum,fossilfuel,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
picnic,activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
pinchot,person,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
pine,plant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0
pipeline,fossilfuel,6,5,2,0,4,0,2,0,0,0,0,0,0,0,4,0,0,0,1,2
plains,ecosystem,0,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
planet,astro,7,18,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
planting,activity,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
plants,plant,2,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,3,3,0,0
plover,bird,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,2
poisoning,pollution,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
polar,ecosystem,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
pollinators,ecology,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0
pollute,pollution,4,8,1,1,33,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0
population,ecology,0,2,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4
porcupines,mammal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ppb,chem,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ppl,chem,1,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ppm,chem,1,8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prairie,ecosystem,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,2
predators,ecology,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
preservation,conservation,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
preserve,conservation,0,2,1,0,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0
prey,ecology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
proenvironment,conservation,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
proof,evidence,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
publicland,,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,2,0,0
published,evidence,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
puppies,mammal,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pups,mammal,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
rabbits,mammal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
radar,weather,0,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
radon,pollution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
rain,weather,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,0,1
rainbow,weather,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
rainwater,weather,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ranches,agriculture,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
rangelands,agriculture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ranger,occupation,2,0,2,0,0,0,0,1,0,0,1,1,0,1,0,0,4,1,0,0
recycle,action,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reef,ecosystem,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
refuge,conservation,0,0,0,1,3,0,1,0,0,0,1,0,0,0,0,0,0,1,13,1
reintroduced,ecology,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
renewable,energy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
research,evidence,1,7,2,6,29,0,1,0,0,0,0,1,1,1,1,0,5,1,0,0
researchers,occupation,0,0,0,1,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
reserves,conservation,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
restoration,conservation,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,3,1,1,0
restoring,conservation,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0
reviewed,evidence,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
riparian,ecosystem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
river,ecosystem,1,11,0,0,11,0,0,0,0,0,0,0,2,0,0,0,1,0,6,1
robin,bird,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
root,plant,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
rose,plant,2,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
rot,ecology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
rural,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0
sage,plant,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
salamander,amphibian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1
salmon,fish,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
sanctuaries,conservation,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
satellite,tech,0,8,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
saveourparks,conservation,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
saveourwilderness,conservation,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
savethemonarch,invertebrate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
scenic,general,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
science,general,23,56,16,40,88,0,12,0,1,3,0,0,1,0,3,0,0,0,1,0
sciencemarch,action,2,3,3,2,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
sciencematters,action,0,3,1,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
sciencenotsilence,action,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
sciencing,general,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scientific,evidence,1,12,9,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scientist,occupation,1,25,12,7,38,1,2,0,1,3,0,0,1,1,1,0,3,1,0,1
sea,ecosystem,7,6,2,0,2,0,0,0,3,2,0,0,0,0,0,0,0,0,2,1
seal,mammal,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,2
sediment,geology,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
seed,plant,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
selenium,chem,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shade,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
sharks,fish,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sheep,mammal,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
shenandoahnps,agency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
shorebirds,bird,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
shrubs,plant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sierra,,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
smog,pollution,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smokey,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
smokeybear,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
snake,reptile,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
snow,weather,0,2,0,0,0,0,0,3,1,2,0,0,0,0,1,0,0,1,4,0
soil,geology,1,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0
solar,energy,1,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
songbirds,bird,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
space,astro,0,3,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
species,ecology,6,5,2,3,0,1,4,2,0,0,0,0,0,1,0,0,3,3,9,1
spill,fossilfuel,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
squirrel,mammal,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0
stakeholders,occupation,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
standforscience,action,0,0,1,21,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
standingrock,fossilfuel,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stateofclimate,climate,0,0,0,0,0,0,0,0,12,10,0,0,0,0,0,0,0,0,0,0
statistically,evidence,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stem,plant,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
stewardship,conservation,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
storm,weather,0,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0
stream,ecosystem,3,1,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,1,2,0
study,evidence,2,4,0,1,4,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
subspecies,ecology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
sun,astro,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
superfund,pollution,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sustainability,conservation,0,2,0,0,1,1,0,0,1,0,0,0,1,0,4,0,1,1,0,0
swallows,bird,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
tailings,pollution,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
technology,tech,0,6,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
temperature,weather,1,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
theory,evidence,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
think,evidence,2,41,8,8,40,6,4,0,0,0,1,0,0,0,0,0,0,0,2,1
thoreau,person,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
threatened,ecology,0,2,0,0,1,1,1,0,0,0,0,0,2,0,0,0,1,0,1,2
thunder,weather,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
tiger,mammal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
timber,agriculture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
tornado,weather,0,27,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
tortoise,reptile,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
toxic,pollution,1,1,0,0,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0
trail,activity,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0
tree,plant,0,2,0,1,1,1,0,1,0,0,1,0,0,3,0,0,16,17,3,2
tropical,ecosystem,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trout,fish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,1
trust,evidence,0,1,1,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
truth,,0,7,1,1,4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
turkey,bird,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
turtle,reptile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
understanding,evidence,0,1,1,1,4,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0
ungagepa,action,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
universe,astro,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
unscientific,evidence,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uranium,chem,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
usda,agency,0,0,0,191,2,2,0,0,0,0,0,0,32,7,0,0,4,0,1,0
usfs,agency,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,1,0
usfws,agency,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,2
valley,ecosystem,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
vegetation,plant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
verify,evidence,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
violets,plant,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
volcanic,geology,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
waldo,person,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
water,,5,11,0,1,66,0,1,1,1,1,0,1,5,1,17,5,6,6,6,1
waterislife,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
watershed,ecosystem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
waterways,ecosystem,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
weasel,mammal,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
weather,weather,0,43,0,0,5,1,0,1,1,2,0,0,0,0,1,0,1,0,1,0
wetland,ecosystem,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,7,1
wettest,weather,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
whale,mammal,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
whaling,conservation,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
whitetailed,mammal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
whwatersummit,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
wikipedia,evidence,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wild,general,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,10,4
wilderness,,22,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6,2,0,0
wildernesswarriors,,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
wildfire,ecology,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,6,2,0,0
wildflowers,plant,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
wildland,ecosystem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
wildlife,animal,1,3,0,13,4,0,5,0,0,0,1,0,0,0,0,0,4,2,18,13
wildlifecrime,action,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
wildliferefuge,agency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4
wildlifewednesday,animal,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
wildlifewin,general,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
wings,bird,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
wolf,mammal,2,1,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
womeninag,agriculture,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
womeninstem,general,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
woods,ecosystem,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,3,0,0
woodpecker,bird,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
workingtrees,agriculture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0
world,astro,3,18,5,5,12,0,2,0,0,0,0,1,2,0,2,0,5,3,1,4
worldwaterday,,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,2,0,1
worldwetlandsday,ecosystem,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,1
worldwildlifeday,general,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4
yellowstone,conservation,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
